route_id,stop_name_1,stop_name_2
17522,AMSTERDAM CENTRAAL,SCHIPHOL AIRPORT
17522,SCHIPHOL AIRPORT,ROTTERDAM CENTRAAL
17562,UTRECHT CENTRAAL,GOUDA
17562,GOUDA,ROTTERDAM ALEXANDER
17562,ROTTERDAM ALEXANDER,ROTTERDAM CENTRAAL
17573,UTRECHT CENTRAAL,WOERDEN
17573,WOERDEN,BODEGRAVEN
17573,BODEGRAVEN,ALPHEN A/D RIJN
17573,ALPHEN A/D RIJN,LEIDEN LAMMENSCHANS
17573,LEIDEN LAMMENSCHANS,LEIDEN CENTRAAL
17599,HOOFDDORP,SCHIPHOL AIRPORT
17599,SCHIPHOL AIRPORT,AMSTERDAM ZUID
17599,AMSTERDAM ZUID,AMSTERDAM RAI
17599,AMSTERDAM RAI,DUIVENDRECHT
17599,DUIVENDRECHT,DIEMEN ZUID
17599,DIEMEN ZUID,WEESP
17599,WEESP,ALMERE POORT
17599,ALMERE POORT,ALMERE MUZIEKWIJK
17599,ALMERE MUZIEKWIJK,ALMERE CENTRUM
17599,ALMERE CENTRUM,ALMERE PARKWIJK
17599,ALMERE PARKWIJK,ALMERE BUITEN
17599,ALMERE BUITEN,ALMERE OOSTVAARDERS
17601,AMERSFOORT SCHOTHORST,AMERSFOORT CENTRAAL
17601,AMERSFOORT CENTRAAL,UTRECHT CENTRAAL
17601,UTRECHT CENTRAAL,GOUDA
17601,GOUDA,DEN HAAG CENTRAAL
17614,GRONINGEN,ASSEN
17614,ASSEN,ZWOLLE
17614,ZWOLLE,AMERSFOORT CENTRAAL
17614,AMERSFOORT CENTRAAL,UTRECHT CENTRAAL
17614,UTRECHT CENTRAAL,GOUDA
17614,GOUDA,ROTTERDAM ALEXANDER
17614,ROTTERDAM ALEXANDER,ROTTERDAM CENTRAAL
17615,AMSTERDAM CENTRAAL,SCHIPHOL AIRPORT
17615,SCHIPHOL AIRPORT,ROTTERDAM CENTRAAL
17615,ROTTERDAM CENTRAAL,BREDA
17620,LEEUWARDEN,GROU-JIRNSUM
17620,GROU-JIRNSUM,AKKRUM
17620,AKKRUM,HEERENVEEN
17620,HEERENVEEN,WOLVEGA
17620,WOLVEGA,STEENWIJK
17620,STEENWIJK,MEPPEL
17627,UTRECHT CENTRAAL,UTRECHT OVERVECHT
17627,UTRECHT OVERVECHT,BILTHOVEN
17627,BILTHOVEN,DEN DOLDER
17627,DEN DOLDER,SOEST ZUID
17627,SOEST ZUID,SOEST
17627,SOEST,SOESTDIJK
17627,SOESTDIJK,BAARN
17641,ZWOLLE,WEZEP
17641,WEZEP,HARDE ('T)
17641,HARDE ('T),NUNSPEET
17641,NUNSPEET,HARDERWIJK
17641,HARDERWIJK,ERMELO
17641,ERMELO,PUTTEN
17641,PUTTEN,NIJKERK
17641,NIJKERK,AMERSFOORT VATHORST
17641,AMERSFOORT VATHORST,AMERSFOORT SCHOTHORST
17641,AMERSFOORT SCHOTHORST,AMERSFOORT CENTRAAL
17641,AMERSFOORT CENTRAAL,DEN DOLDER
17641,DEN DOLDER,BILTHOVEN
17641,BILTHOVEN,UTRECHT OVERVECHT
17641,UTRECHT OVERVECHT,UTRECHT CENTRAAL
17651,UTRECHT CENTRAAL,UTRECHT LEIDSCHE RIJN
17651,UTRECHT LEIDSCHE RIJN,UTRECHT TERWIJDE
17651,UTRECHT TERWIJDE,VLEUTEN
17651,VLEUTEN,WOERDEN
17651,WOERDEN,GOUDA GOVERWELLE
17651,GOUDA GOVERWELLE,GOUDA
17651,GOUDA,NIEUWERKERK AD IJSSEL
17651,NIEUWERKERK AD IJSSEL,CAPELLE SCHOLLEVAAR
17651,CAPELLE SCHOLLEVAAR,ROTTERDAM ALEXANDER
17651,ROTTERDAM ALEXANDER,ROTTERDAM NOORD
17651,ROTTERDAM NOORD,ROTTERDAM CENTRAAL
17658,ROOSENDAAL,ETTEN-LEUR
17658,ETTEN-LEUR,BREDA
17658,BREDA,TILBURG
17658,TILBURG,HERTOGENBOSCH ('S)
17658,HERTOGENBOSCH ('S),OSS
17658,OSS,NIJMEGEN
17658,NIJMEGEN,ARNHEM CENTRAAL
17658,ARNHEM CENTRAAL,DIEREN
17658,DIEREN,ZUTPHEN
17658,ZUTPHEN,DEVENTER
17658,DEVENTER,OLST
17658,OLST,WIJHE
17658,WIJHE,ZWOLLE
17661,AMSTERDAM CENTRAAL,AMSTERDAM SLOTERDIJK
17661,AMSTERDAM SLOTERDIJK,HAARLEM
17661,HAARLEM,HEEMSTEDE-AERDENHOUT
17661,HEEMSTEDE-AERDENHOUT,LEIDEN CENTRAAL
17661,LEIDEN CENTRAAL,DEN HAAG CENTRAAL
17705,ENSCHEDE,HENGELO
17705,HENGELO,ALMELO
17705,ALMELO,DEVENTER
17705,DEVENTER,APELDOORN
17705,APELDOORN,AMERSFOORT CENTRAAL
17705,AMERSFOORT CENTRAAL,UTRECHT CENTRAAL
17705,UTRECHT CENTRAAL,GOUDA
17705,GOUDA,DEN HAAG CENTRAAL
